Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,30,400,7,50,13,13,0,10.0,6.0,80.0,261,559,25,0.0
0.6,35,381,9,50,25,25,0,10.0,7.000000000000001,76.2,258,556,23,0.0
0.9,42,363,3,56,36,35,1,11.200000000000001,8.4,72.6,255,553,19,0.0
1.2,54,340,3,58,45,44,1,11.600000000000001,10.8,68.0,253,551,16,0.0
1.5,60,324,3,60,53,52,1,12.0,12.0,64.8,248,546,14,0.0
1.8,64,307,3,59,67,65,2,11.799999999999999,12.8,61.4,247,545,13,0.0
2.1,69,291,4,61,75,73,2,12.2,13.8,58.199999999999996,242,540,8,0.0
2.4,72,280,6,62,80,78,2,12.4,14.399999999999999,56.00000000000001,241,539,8,0.0
2.6999999999999997,78,264,5,64,89,87,2,12.8,15.6,52.800000000000004,237,535,7,0.0
3.0,78,249,3,68,102,100,2,13.600000000000001,15.6,49.8,231,529,7,0.0
3.3,81,220,11,68,120,118,2,13.600000000000001,16.2,44.0,227,525,7,0.0
3.6,82,210,9,72,127,125,2,14.399999999999999,16.400000000000002,42.0,225,522,7,0.0
3.9000000000000004,85,196,8,77,134,132,2,15.4,17.0,39.2,223,520,7,0.0
4.2,85,187,5,82,141,139,2,16.400000000000002,17.0,37.4,222,519,7,0.0
4.5,86,178,5,83,148,146,2,16.6,17.2,35.6,219,516,7,0.0
4.8,87,160,3,87,163,161,2,17.4,17.4,32.0,216,513,7,0.0
5.1,90,149,7,87,167,165,2,17.4,18.0,29.799999999999997,213,510,7,0.0
5.3999999999999995,92,132,8,88,180,177,3,17.599999999999998,18.4,26.400000000000002,209,506,7,0.0
5.699999999999999,93,123,5,91,188,185,3,18.2,18.6,24.6,205,502,6,0.0
6.0,96,112,3,96,193,190,3,19.2,19.2,22.400000000000002,203,500,6,0.0
6.3,96,110,2,97,195,192,3,19.400000000000002,19.2,22.0,199,496,6,0.0
6.6,99,103,1,98,199,196,3,19.6,19.8,20.599999999999998,197,494,6,0.0
6.9,101,95,0,99,205,202,3,19.8,20.200000000000003,19.0,192,489,6,0.0
7.2,101,89,1,98,211,207,4,19.6,20.200000000000003,17.8,190,487,6,0.0
7.5,103,83,1,98,215,211,4,19.6,20.599999999999998,16.6,182,479,6,0.0
7.800000000000001,104,76,0,99,221,217,4,19.8,20.8,15.2,180,476,6,0.0
8.1,104,67,0,99,230,226,4,19.8,20.8,13.4,173,469,6,0.0
8.4,104,64,0,99,233,229,4,19.8,20.8,12.8,171,463,6,0.0
8.7,105,60,1,99,235,231,4,19.8,21.0,12.0,166,458,6,0.0
9.0,108,53,2,99,238,234,4,19.8,21.6,10.6,165,455,6,104.94574600001215
