Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,30,315,15,126,14,14,0,25.2,6.0,63.0,298,494,27,0.0
0.6,44,282,25,128,21,21,0,25.6,8.799999999999999,56.39999999999999,298,494,27,0.0
0.9,52,260,20,140,28,28,0,28.000000000000004,10.4,52.0,296,492,23,0.0
1.2,58,236,17,151,38,38,0,30.2,11.600000000000001,47.199999999999996,296,492,23,0.0
1.5,66,207,20,158,49,49,0,31.6,13.200000000000001,41.4,294,490,23,0.0
1.8,67,188,18,169,58,58,0,33.800000000000004,13.4,37.6,293,489,23,0.0
2.1,75,163,20,173,69,68,1,34.599999999999994,15.0,32.6,292,488,22,0.0
2.4,82,145,17,180,76,74,2,36.0,16.400000000000002,28.999999999999996,292,488,22,0.0
2.6999999999999997,85,134,9,190,82,79,3,38.0,17.0,26.8,291,487,22,0.0
3.0,88,117,15,193,87,83,4,38.6,17.599999999999998,23.400000000000002,290,486,20,0.0
3.3,91,98,22,197,92,88,4,39.4,18.2,19.6,290,486,20,0.0
3.6,93,81,26,204,96,92,4,40.8,18.6,16.2,290,486,20,0.0
3.9000000000000004,96,72,19,214,99,95,4,42.8,19.2,14.399999999999999,290,486,20,0.0
4.2,96,62,12,227,103,99,4,45.4,19.2,12.4,288,484,20,0.0
4.5,96,54,12,232,106,102,4,46.400000000000006,19.2,10.8,288,484,20,0.0
4.8,98,45,11,236,110,105,5,47.199999999999996,19.6,9.0,286,482,20,0.0
5.1,98,39,7,244,112,107,5,48.8,19.6,7.8,286,482,20,0.0
5.3999999999999995,99,34,5,248,114,109,5,49.6,19.8,6.800000000000001,286,482,19,0.0
5.699999999999999,99,29,7,250,115,110,5,50.0,19.8,5.800000000000001,286,482,19,0.0
6.0,101,24,6,251,118,112,6,50.2,20.200000000000003,4.8,286,482,19,0.0
6.3,101,20,5,255,119,113,6,51.0,20.200000000000003,4.0,286,482,19,0.0
6.6,101,15,7,256,121,115,6,51.2,20.200000000000003,3.0,286,482,19,0.0
6.9,102,9,7,260,122,116,6,52.0,20.4,1.7999999999999998,286,482,19,0.0
7.2,102,7,5,263,123,117,6,52.6,20.4,1.4000000000000001,286,482,19,0.0
7.5,102,5,3,266,124,118,6,53.2,20.4,1.0,286,482,19,0.0
7.800000000000001,102,5,2,267,124,118,6,53.400000000000006,20.4,1.0,286,482,19,0.0
8.1,102,5,0,269,124,118,6,53.800000000000004,20.4,1.0,286,482,19,0.0
8.4,102,5,0,269,124,118,6,53.800000000000004,20.4,1.0,286,482,19,0.0
8.7,102,5,0,269,124,118,6,53.800000000000004,20.4,1.0,286,482,19,0.0
9.0,103,3,1,269,124,118,6,53.800000000000004,20.599999999999998,0.6,286,482,19,76.3053845000104
