Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,31,296,16,150,7,7,0,30.0,6.2,59.199999999999996,302,559,28,0.0
0.6,43,258,28,152,19,19,0,30.4,8.6,51.6,300,557,27,0.0
0.9,50,234,24,164,28,28,0,32.800000000000004,10.0,46.800000000000004,300,557,27,0.0
1.2,62,204,19,178,37,37,0,35.6,12.4,40.8,300,557,26,0.0
1.5,68,180,18,186,48,48,0,37.2,13.600000000000001,36.0,300,557,26,0.0
1.8,77,163,16,195,49,49,0,39.0,15.4,32.6,300,557,26,0.0
2.1,81,139,18,202,60,60,0,40.400000000000006,16.2,27.800000000000004,300,557,25,0.0
2.4,84,120,24,205,67,67,0,41.0,16.8,24.0,299,556,24,0.0
2.6999999999999997,87,105,17,218,73,73,0,43.6,17.4,21.0,297,554,24,0.0
3.0,87,84,22,227,80,80,0,45.4,17.4,16.8,297,554,24,0.0
3.3,88,75,19,237,81,81,0,47.4,17.599999999999998,15.0,297,554,23,0.0
3.6,89,63,19,242,87,87,0,48.4,17.8,12.6,295,552,22,0.0
3.9000000000000004,90,56,9,255,90,90,0,51.0,18.0,11.200000000000001,295,552,22,0.0
4.2,91,48,7,260,94,94,0,52.0,18.2,9.6,294,551,22,0.0
4.5,92,37,8,264,99,98,1,52.800000000000004,18.4,7.3999999999999995,294,551,22,0.0
4.8,92,31,13,264,100,99,1,52.800000000000004,18.4,6.2,294,551,21,0.0
5.1,94,19,14,272,101,100,1,54.400000000000006,18.8,3.8,294,551,21,0.0
5.3999999999999995,95,14,11,279,101,100,1,55.800000000000004,19.0,2.8000000000000003,294,551,21,0.0
5.699999999999999,96,12,4,285,103,101,2,56.99999999999999,19.2,2.4,294,551,21,0.0
6.0,96,11,1,288,104,102,2,57.599999999999994,19.2,2.1999999999999997,294,551,21,0.0
6.3,97,9,1,289,104,102,2,57.8,19.400000000000002,1.7999999999999998,294,551,21,0.0
6.6,97,7,2,290,104,102,2,57.99999999999999,19.400000000000002,1.4000000000000001,294,551,21,0.0
6.9,97,4,4,290,105,103,2,57.99999999999999,19.400000000000002,0.8,294,551,21,0.0
7.2,97,3,4,291,105,103,2,58.199999999999996,19.400000000000002,0.6,294,551,21,0.0
7.5,97,2,2,293,106,104,2,58.599999999999994,19.400000000000002,0.4,294,551,21,0.0
7.800000000000001,97,2,1,294,106,104,2,58.8,19.400000000000002,0.4,294,551,21,0.0
8.1,97,1,1,295,106,104,2,59.0,19.400000000000002,0.2,294,551,21,0.0
8.4,97,1,1,295,106,104,2,59.0,19.400000000000002,0.2,294,551,21,0.0
8.7,97,1,0,296,106,104,2,59.199999999999996,19.400000000000002,0.2,294,551,21,0.0
9.0,97,1,0,296,106,104,2,59.199999999999996,19.400000000000002,0.2,294,551,21,76.88260840001749
