Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,35,279,27,151,8,8,0,30.2,7.000000000000001,55.800000000000004,298,462,25,0.0
0.6,44,249,38,151,18,18,0,30.2,8.799999999999999,49.8,298,462,24,0.0
0.9,55,218,31,168,28,27,1,33.6,11.0,43.6,296,460,23,0.0
1.2,61,195,22,187,35,34,1,37.4,12.2,39.0,295,459,23,0.0
1.5,72,167,26,197,38,37,1,39.4,14.399999999999999,33.4,294,458,23,0.0
1.8,79,152,21,206,42,41,1,41.199999999999996,15.8,30.4,294,458,23,0.0
2.1,84,132,18,220,46,45,1,44.0,16.8,26.400000000000002,294,458,22,0.0
2.4,86,116,20,225,53,52,1,45.0,17.2,23.200000000000003,294,458,22,0.0
2.6999999999999997,88,99,19,235,59,58,1,47.0,17.599999999999998,19.8,294,458,21,0.0
3.0,91,86,17,244,62,61,1,48.8,18.2,17.2,294,458,20,0.0
3.3,91,78,18,250,63,62,1,50.0,18.2,15.6,293,457,19,0.0
3.6,93,62,16,262,67,66,1,52.400000000000006,18.6,12.4,292,456,19,0.0
3.9000000000000004,93,53,19,265,70,68,2,53.0,18.6,10.6,291,455,18,0.0
4.2,93,46,15,274,72,70,2,54.800000000000004,18.6,9.2,291,455,18,0.0
4.5,94,34,16,282,74,71,3,56.39999999999999,18.8,6.800000000000001,291,455,18,0.0
4.8,94,31,14,286,75,71,4,57.199999999999996,18.8,6.2,291,455,18,0.0
5.1,94,24,16,291,75,71,4,58.199999999999996,18.8,4.8,291,455,18,0.0
5.3999999999999995,95,21,9,299,76,72,4,59.8,19.0,4.2,291,455,18,0.0
5.699999999999999,96,15,5,308,76,72,4,61.6,19.2,3.0,291,455,18,0.0
6.0,97,12,5,309,77,73,4,61.8,19.400000000000002,2.4,291,455,18,0.0
6.3,98,7,5,311,79,75,4,62.2,19.6,1.4000000000000001,291,455,18,0.0
6.6,99,6,2,314,79,75,4,62.8,19.8,1.2,291,455,18,0.0
6.9,99,4,0,316,81,77,4,63.2,19.8,0.8,291,455,18,0.0
7.2,99,4,0,316,81,77,4,63.2,19.8,0.8,291,455,18,0.0
7.5,99,2,2,316,81,77,4,63.2,19.8,0.4,291,455,18,0.0
7.800000000000001,99,0,4,316,81,77,4,63.2,19.8,0.0,291,455,18,0.0
8.1,99,0,3,317,81,77,4,63.4,19.8,0.0,291,455,18,0.0
8.4,99,0,0,320,81,77,4,64.0,19.8,0.0,291,455,18,0.0
8.7,99,0,0,320,81,77,4,64.0,19.8,0.0,291,455,18,0.0
9.0,99,0,0,320,81,77,4,64.0,19.8,0.0,291,455,18,82.1041808000009
