Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,36,379,36,205,14,14,0,30.597014925373134,5.3731343283582085,56.56716417910448,291,499,22,0.0
0.6,57,332,51,206,24,24,0,30.74626865671642,8.507462686567164,49.55223880597015,289,497,20,0.0
0.9,70,300,39,230,31,31,0,34.32835820895522,10.44776119402985,44.776119402985074,287,495,18,0.0
1.2,85,256,31,255,43,43,0,38.059701492537314,12.686567164179104,38.2089552238806,287,495,18,0.0
1.5,91,234,27,266,52,52,0,39.701492537313435,13.582089552238804,34.92537313432836,285,493,17,0.0
1.8,101,197,29,281,62,62,0,41.940298507462686,15.074626865671641,29.402985074626862,283,491,15,0.0
2.1,107,162,37,293,71,71,0,43.73134328358209,15.970149253731345,24.17910447761194,283,491,15,0.0
2.4,111,141,36,305,77,76,1,45.52238805970149,16.567164179104477,21.044776119402986,280,488,11,0.0
2.6999999999999997,117,115,31,321,86,83,3,47.91044776119403,17.46268656716418,17.16417910447761,278,486,10,0.0
3.0,118,94,30,336,92,89,3,50.14925373134328,17.611940298507463,14.029850746268657,275,483,10,0.0
3.3,118,82,30,345,95,91,4,51.49253731343284,17.611940298507463,12.238805970149254,272,480,10,0.0
3.6,119,68,21,363,99,95,4,54.179104477611936,17.761194029850746,10.149253731343283,269,477,10,0.0
3.9000000000000004,121,59,16,372,102,98,4,55.52238805970149,18.059701492537314,8.805970149253731,268,476,10,0.0
4.2,123,48,18,379,102,98,4,56.56716417910448,18.35820895522388,7.164179104477612,267,475,10,0.0
4.5,123,41,16,386,104,99,5,57.611940298507456,18.35820895522388,6.119402985074627,266,474,10,0.0
4.8,125,33,14,391,107,102,5,58.35820895522388,18.65671641791045,4.925373134328359,266,474,10,0.0
5.1,126,25,11,399,109,104,5,59.55223880597015,18.80597014925373,3.731343283582089,266,474,10,0.0
5.3999999999999995,127,19,8,406,110,105,5,60.59701492537314,18.955223880597014,2.8358208955223883,266,474,10,0.0
5.699999999999999,127,10,8,411,114,109,5,61.34328358208955,18.955223880597014,1.4925373134328357,266,474,10,0.0
6.0,129,5,11,411,114,109,5,61.34328358208955,19.25373134328358,0.7462686567164178,266,474,10,0.0
6.3,129,3,7,417,114,109,5,62.23880597014926,19.25373134328358,0.44776119402985076,266,474,10,0.0
6.6,129,3,4,420,114,109,5,62.68656716417911,19.25373134328358,0.44776119402985076,266,474,10,0.0
6.9,129,3,0,424,114,109,5,63.28358208955224,19.25373134328358,0.44776119402985076,266,474,10,0.0
7.2,129,3,0,424,114,109,5,63.28358208955224,19.25373134328358,0.44776119402985076,266,474,10,0.0
7.5,129,1,2,424,114,109,5,63.28358208955224,19.25373134328358,0.1492537313432836,266,474,10,0.0
7.800000000000001,129,1,2,424,114,109,5,63.28358208955224,19.25373134328358,0.1492537313432836,266,474,10,0.0
8.1,129,1,0,426,114,109,5,63.582089552238806,19.25373134328358,0.1492537313432836,266,474,10,0.0
8.4,129,1,0,426,114,109,5,63.582089552238806,19.25373134328358,0.1492537313432836,266,474,10,0.0
8.7,129,0,1,426,114,109,5,63.582089552238806,19.25373134328358,0.0,266,474,10,0.0
9.0,129,0,1,426,114,109,5,63.582089552238806,19.25373134328358,0.0,266,474,10,112.43411339999875
