Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,26,285,28,149,12,11,1,29.799999999999997,5.2,56.99999999999999,307,508,25,0.0
0.6,39,249,39,150,23,22,1,30.0,7.8,49.8,307,508,22,0.0
0.9,51,219,35,166,29,28,1,33.2,10.2,43.8,305,506,21,0.0
1.2,55,200,23,187,35,34,1,37.4,11.0,40.0,305,506,21,0.0
1.5,63,183,17,198,39,38,1,39.6,12.6,36.6,304,505,19,0.0
1.8,70,156,20,209,45,44,1,41.8,14.000000000000002,31.2,302,503,18,0.0
2.1,74,143,17,214,52,51,1,42.8,14.799999999999999,28.599999999999998,302,503,18,0.0
2.4,77,131,9,227,56,54,2,45.4,15.4,26.200000000000003,302,503,18,0.0
2.6999999999999997,80,117,13,228,62,58,4,45.6,16.0,23.400000000000002,302,503,18,0.0
3.0,81,101,18,232,68,64,4,46.400000000000006,16.2,20.200000000000003,300,501,18,0.0
3.3,81,85,21,238,75,70,5,47.599999999999994,16.2,17.0,299,500,18,0.0
3.6,81,67,22,248,82,77,5,49.6,16.2,13.4,299,500,18,0.0
3.9000000000000004,81,60,16,257,86,81,5,51.4,16.2,12.0,299,500,18,0.0
4.2,82,47,18,265,88,83,5,53.0,16.400000000000002,9.4,299,500,17,0.0
4.5,83,33,18,272,94,87,7,54.400000000000006,16.6,6.6000000000000005,299,500,17,0.0
4.8,84,28,18,276,94,87,7,55.2,16.8,5.6000000000000005,298,499,17,0.0
5.1,84,21,12,288,95,88,7,57.599999999999994,16.8,4.2,298,499,17,0.0
5.3999999999999995,84,16,11,293,96,89,7,58.599999999999994,16.8,3.2,298,499,17,0.0
5.699999999999999,84,13,7,299,97,90,7,59.8,16.8,2.6,298,499,17,0.0
6.0,84,10,6,303,97,90,7,60.6,16.8,2.0,298,499,17,0.0
6.3,84,9,6,303,98,90,8,60.6,16.8,1.7999999999999998,298,499,17,0.0
6.6,84,8,3,306,99,91,8,61.199999999999996,16.8,1.6,298,499,17,0.0
6.9,84,6,2,308,100,92,8,61.6,16.8,1.2,298,499,17,0.0
7.2,84,3,4,309,100,92,8,61.8,16.8,0.6,298,499,17,0.0
7.5,84,3,3,310,100,92,8,62.0,16.8,0.6,298,499,17,0.0
7.800000000000001,84,1,3,312,100,92,8,62.4,16.8,0.2,298,499,17,0.0
8.1,84,1,2,313,100,92,8,62.6,16.8,0.2,298,499,17,0.0
8.4,84,1,1,314,100,92,8,62.8,16.8,0.2,298,499,17,0.0
8.7,84,1,0,315,100,92,8,63.0,16.8,0.2,298,499,17,0.0
9.0,84,1,0,315,100,92,8,63.0,16.8,0.2,298,499,17,99.29412079998292
