Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,28,292,17,149,14,13,1,29.799999999999997,5.6000000000000005,58.4,678,1074,54,0.0
0.6,36,269,27,150,18,17,1,30.0,7.199999999999999,53.800000000000004,677,1073,53,0.0
0.9,47,238,22,161,32,31,1,32.2,9.4,47.599999999999994,674,1070,49,0.0
1.2,58,206,22,171,43,41,2,34.2,11.600000000000001,41.199999999999996,672,1068,47,0.0
1.5,66,183,25,180,46,43,3,36.0,13.200000000000001,36.6,670,1066,42,0.0
1.8,73,160,21,191,55,52,3,38.2,14.6,32.0,669,1065,41,0.0
2.1,76,146,19,198,61,57,4,39.6,15.2,29.2,669,1065,40,0.0
2.4,80,126,15,205,74,67,7,41.0,16.0,25.2,667,1063,38,0.0
2.6999999999999997,81,112,17,211,79,71,8,42.199999999999996,16.2,22.400000000000002,667,1063,38,0.0
3.0,85,95,18,218,84,76,8,43.6,17.0,19.0,665,1061,38,0.0
3.3,87,88,15,221,89,77,12,44.2,17.4,17.599999999999998,665,1061,38,0.0
3.6,87,82,10,226,95,81,14,45.2,17.4,16.400000000000002,665,1061,38,0.0
3.9000000000000004,92,62,12,233,101,86,15,46.6,18.4,12.4,665,1061,38,0.0
4.2,94,50,16,236,104,89,15,47.199999999999996,18.8,10.0,665,1061,38,0.0
4.5,98,43,14,239,106,91,15,47.8,19.6,8.6,665,1061,38,0.0
4.8,98,41,5,249,107,91,16,49.8,19.6,8.200000000000001,664,1060,38,0.0
5.1,98,36,7,251,108,92,16,50.2,19.6,7.199999999999999,664,1060,37,0.0
5.3999999999999995,102,31,4,254,109,93,16,50.8,20.4,6.2,664,1060,37,0.0
5.699999999999999,103,24,4,257,112,96,16,51.4,20.599999999999998,4.8,663,1059,37,0.0
6.0,103,20,5,259,113,97,16,51.800000000000004,20.599999999999998,4.0,663,1059,37,0.0
6.3,103,18,7,259,113,97,16,51.800000000000004,20.599999999999998,3.5999999999999996,663,1059,37,0.0
6.6,103,16,4,263,114,97,17,52.6,20.599999999999998,3.2,663,1059,37,0.0
6.9,103,16,4,262,115,97,18,52.400000000000006,20.599999999999998,3.2,663,1059,36,0.0
7.2,105,13,3,264,115,97,18,52.800000000000004,21.0,2.6,663,1059,36,0.0
7.5,105,12,1,264,118,98,20,52.800000000000004,21.0,2.4,663,1059,36,0.0
7.800000000000001,106,9,2,265,118,98,20,53.0,21.2,1.7999999999999998,663,1059,36,0.0
8.1,107,6,3,265,119,99,20,53.0,21.4,1.2,663,1059,36,0.0
8.4,107,6,2,266,119,99,20,53.2,21.4,1.2,663,1059,36,0.0
8.7,107,6,0,268,119,99,20,53.6,21.4,1.2,663,1059,36,0.0
9.0,107,6,0,268,119,99,20,53.6,21.4,1.2,663,1059,36,70.72435279999627
